instance_name;beta;h;max_time;seed;ML_used;makespan;makespan_bb;;;;;;;;;;
t_j20_m5.txt;0.4;0.75;60;12345;7;1278;1309.335;;;;;;;;;;
t_j20_m5.txt;0.4;0.75;60;12345;8;1278;1309.335;;;;;;;;;;
t_j20_m5.txt;0.4;0.75;60;12345;9;1278;1305.3225;;Promedio de makespan;Etiquetas de columna;;;;;;;
t_j20_m5.txt;0.4;0.75;60;435451;7;1278;1309.335;;Etiquetas de fila;7;8;9;Total general;;;;
t_j20_m5.txt;0.4;0.75;60;435451;8;1278;1309.335;;t_j100_m10.txt;5817;5816.3;5811.2;5814.833333;;;;
t_j20_m5.txt;0.4;0.75;60;435451;9;1278;1309.335;;t_j100_m20.txt;6515.4;6515.4;6509.4;6513.4;;;;
t_j20_m5.txt;0.4;0.75;60;56162;7;1278;1304.76;;t_j100_m5.txt;5496.8;5496.3;5496.6;5496.566667;;;;
t_j20_m5.txt;0.4;0.75;60;56162;8;1278;1304.76;;t_j20_m10.txt;1593.1;1592.4;1591.3;1592.266667;;;;
t_j20_m5.txt;0.4;0.75;60;56162;9;1278;1304.76;;t_j20_m20.txt;2323;2322.4;2321;2322.133333;;;;
t_j20_m5.txt;0.4;0.75;60;68813;7;1278;1309.335;;t_j20_m5.txt;1278;1278;1278;1278;;;;
t_j20_m5.txt;0.4;0.75;60;68813;8;1278;1304.76;;t_j200_m10.txt;10956.6;10956.6;10953.5;10955.56667;;;;
t_j20_m5.txt;0.4;0.75;60;68813;9;1278;1304.76;;t_j200_m20.txt;11598.6;11597.6;11571.5;11589.23333;;;;
t_j20_m5.txt;0.4;0.75;60;368387;7;1278;1310.1975;;t_j50_m10.txt;3098.4;3098.3;3095;3097.233333;;;;
t_j20_m5.txt;0.4;0.75;60;368387;8;1278;1310.1975;;t_j50_m20.txt;4020;4017.9;4010.7;4016.2;;;;
t_j20_m5.txt;0.4;0.75;60;368387;9;1278;1309.6725;;t_j50_m5.txt;2724;2724;2724;2724;;;;
t_j20_m5.txt;0.4;0.75;60;687619;7;1278;1307.685;;t_j500_m20.txt;26770.3;26770.3;26713.3;26751.3;;;;
t_j20_m5.txt;0.4;0.75;60;687619;8;1278;1307.31;;Total general;6849.266667;6848.791667;6839.625;6845.894444;;;;
t_j20_m5.txt;0.4;0.75;60;687619;9;1278;1307.685;;;;;;;;;;
t_j20_m5.txt;0.4;0.75;60;354135;7;1278;1307.31;;;;;;;;;;
t_j20_m5.txt;0.4;0.75;60;354135;8;1278;1307.31;;;;;;;;;;
t_j20_m5.txt;0.4;0.75;60;354135;9;1278;1308.1725;;;;;;;t_j20_m5.txt;1278.00;1278.00;1278.00
t_j20_m5.txt;0.4;0.75;60;839113;7;1278;1305.66;;;;;;;t_j20_m10.txt;1593.10;1592.40;1591.30
t_j20_m5.txt;0.4;0.75;60;839113;8;1278;1305.66;;;;;;;t_j20_m20.txt;2323.00;2322.40;2321.00
t_j20_m5.txt;0.4;0.75;60;839113;9;1278;1305.66;;;;;;;t_j50_m5.txt;2724.00;2724.00;2724.00
t_j20_m5.txt;0.4;0.75;60;123452;7;1278;1307.685;;;;;;;t_j50_m10.txt;3098.40;3098.30;3095.00
t_j20_m5.txt;0.4;0.75;60;123452;8;1278;1297.825;;;;;;;t_j50_m20.txt;4020.00;4017.90;4010.70
t_j20_m5.txt;0.4;0.75;60;123452;9;1278;1296.9625;;t_j200_m10.txt;10956.6;10956.6;10953.5;;t_j100_m5.txt;5496.80;5496.30;5496.60
t_j20_m5.txt;0.4;0.75;60;4354512;7;1278;1305.3225;;t_j200_m20.txt;11598.6;11597.6;11571.5;;t_j100_m10.txt;5817.00;5816.30;5811.20
t_j20_m5.txt;0.4;0.75;60;4354512;8;1278;1305.3225;;;;;;;t_j100_m20.txt;6515.40;6515.40;6509.40
t_j20_m5.txt;0.4;0.75;60;4354512;9;1278;1305.3225;;;;;;;t_j200_m10.txt;10956.60;10956.60;10953.50
t_j20_m10.txt;0.4;0.75;60;12345;7;1591;1605.82;;;;;;;t_j200_m20.txt;11598.60;11597.60;11571.50
t_j20_m10.txt;0.4;0.75;60;12345;8;1591;1605.82;;;;;;;t_j500_m20.txt;26770.30;26770.30;26713.30
t_j20_m10.txt;0.4;0.75;60;12345;9;1591;1605.82;;;;;;;Total;6849.27;6848.79;6839.63
t_j20_m10.txt;0.4;0.75;60;435451;7;1601;1621.595;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;435451;8;1598;1607.4725;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;435451;9;1593;1621.25;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;56162;7;1608;1624.95;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;56162;8;1604;1617.6125;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;56162;9;1598;1617.455;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;68813;7;1593;1615.9075;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;68813;8;1593;1615.9075;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;68813;9;1593;1615.9075;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;368387;7;1591;1605.82;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;368387;8;1591;1617.7325;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;368387;9;1591;1617.7325;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;687619;7;1591;1606.27;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;687619;8;1591;1606.27;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;687619;9;1591;1606.27;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;354135;7;1586;1602.2;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;354135;8;1586;1602.2;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;354135;9;1586;1602.2;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;839113;7;1588;1604.155;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;839113;8;1588;1604.155;;;;;;;;;;
t_j20_m10.txt;0.4;0.75;60;839113;9;1588;1604.155;;;;;;;;;;
