instance_name;beta;h;max_time;seed;ML_used;makespan;makespan_bb
t_j20_m5.txt;0.4;0.75;60;12345;6;1278;1312.7475000000002
t_j20_m5.txt;0.4;0.75;60;12345;10;1278;1309.335
t_j20_m5.txt;0.4;0.75;60;435451;6;1278;1307.6475
t_j20_m5.txt;0.4;0.75;60;435451;10;1278;1309.335
t_j20_m5.txt;0.4;0.75;60;56162;6;1278;1313.3100000000002
t_j20_m5.txt;0.4;0.75;60;56162;10;1278;1304.76
t_j20_m5.txt;0.4;0.75;60;68813;6;1278;1304.1225
t_j20_m5.txt;0.4;0.75;60;68813;10;1278;1309.335
t_j20_m5.txt;0.4;0.75;60;368387;6;1278;1311.285
t_j20_m5.txt;0.4;0.75;60;368387;10;1278;1310.1975000000002
t_j20_m5.txt;0.4;0.75;60;687619;6;1278;1312.56
t_j20_m5.txt;0.4;0.75;60;687619;10;1278;1306.785
t_j20_m5.txt;0.4;0.75;60;354135;6;1278;1314.7725
t_j20_m5.txt;0.4;0.75;60;354135;10;1278;1307.31
t_j20_m5.txt;0.4;0.75;60;839113;6;1278;1310.535
t_j20_m5.txt;0.4;0.75;60;839113;10;1278;1305.66
t_j20_m5.txt;0.4;0.75;60;123452;6;1278;1310.5725000000002
t_j20_m5.txt;0.4;0.75;60;123452;10;1278;1307.685
t_j20_m5.txt;0.4;0.75;60;4354512;6;1278;1312.56
t_j20_m5.txt;0.4;0.75;60;4354512;10;1278;1305.3225
t_j20_m10.txt;0.4;0.75;60;12345;6;1598;1613.62
t_j20_m10.txt;0.4;0.75;60;12345;10;1591;1605.82
t_j20_m10.txt;0.4;0.75;60;435451;6;1583;1617.605
t_j20_m10.txt;0.4;0.75;60;435451;10;1601;1621.5949999999998
t_j20_m10.txt;0.4;0.75;60;56162;6;1602;1621.0425
t_j20_m10.txt;0.4;0.75;60;56162;10;1608;1624.95
t_j20_m10.txt;0.4;0.75;60;68813;6;1598;1651.6999999999998
t_j20_m10.txt;0.4;0.75;60;68813;10;1593;1615.9074999999998
t_j20_m10.txt;0.4;0.75;60;368387;6;1601;1658.9
t_j20_m10.txt;0.4;0.75;60;368387;10;1591;1605.82
t_j20_m10.txt;0.4;0.75;60;687619;6;1599;1624.6875
t_j20_m10.txt;0.4;0.75;60;687619;10;1591;1606.2699999999998
t_j20_m10.txt;0.4;0.75;60;354135;6;1595;1615.5949999999998
t_j20_m10.txt;0.4;0.75;60;354135;10;1586;1602.1999999999998
t_j20_m10.txt;0.4;0.75;60;839113;6;1591;1635.8824999999997
t_j20_m10.txt;0.4;0.75;60;839113;10;1588;1604.1549999999997
t_j20_m10.txt;0.4;0.75;60;123452;6;1607;1637.0475000000001
t_j20_m10.txt;0.4;0.75;60;123452;10;1591;1610.6049999999998
t_j20_m10.txt;0.4;0.75;60;4354512;6;1607;1624.1449999999998
t_j20_m10.txt;0.4;0.75;60;4354512;10;1591;1606.2699999999998
t_j20_m20.txt;0.4;0.75;60;12345;6;2324;2344.0325000000003
t_j20_m20.txt;0.4;0.75;60;12345;10;2328;2361.6075
t_j20_m20.txt;0.4;0.75;60;435451;6;2326;2346.1025
t_j20_m20.txt;0.4;0.75;60;435451;10;2324;2363.0975000000003
t_j20_m20.txt;0.4;0.75;60;56162;6;2329;2378.7850000000003
t_j20_m20.txt;0.4;0.75;60;56162;10;2319;2353.5550000000003
t_j20_m20.txt;0.4;0.75;60;68813;6;2317;2358.7850000000003
t_j20_m20.txt;0.4;0.75;60;68813;10;2325;2354.6400000000003
t_j20_m20.txt;0.4;0.75;60;368387;6;2318;2375.905
t_j20_m20.txt;0.4;0.75;60;368387;10;2310;2344.7850000000003
t_j20_m20.txt;0.4;0.75;60;687619;6;2318;2353.61
t_j20_m20.txt;0.4;0.75;60;687619;10;2327;2347.6025
t_j20_m20.txt;0.4;0.75;60;354135;6;2319;2353.5550000000003
t_j20_m20.txt;0.4;0.75;60;354135;10;2325;2354.6400000000003
t_j20_m20.txt;0.4;0.75;60;839113;6;2319;2353.5550000000003
t_j20_m20.txt;0.4;0.75;60;839113;10;2327;2335.75
t_j20_m20.txt;0.4;0.75;60;123452;6;2322;2362.2575
t_j20_m20.txt;0.4;0.75;60;123452;10;2323;2347.5325
t_j20_m20.txt;0.4;0.75;60;4354512;6;2318;2335.7850000000003
t_j20_m20.txt;0.4;0.75;60;4354512;10;2316;2371.1475000000005
t_j50_m5.txt;0.4;0.75;60;12345;6;2724;2753.6700000000005
t_j50_m5.txt;0.4;0.75;60;12345;10;2724;2757.6824999999994
t_j50_m5.txt;0.4;0.75;60;435451;6;2724;2753.7
t_j50_m5.txt;0.4;0.75;60;435451;10;2724;2748.0074999999997
t_j50_m5.txt;0.4;0.75;60;56162;6;2724;2757.6449999999995
t_j50_m5.txt;0.4;0.75;60;56162;10;2724;2758.057499999999
t_j50_m5.txt;0.4;0.75;60;68813;6;2724;2757.6449999999995
t_j50_m5.txt;0.4;0.75;60;68813;10;2724;2746.0125
t_j50_m5.txt;0.4;0.75;60;368387;6;2724;2768.82
t_j50_m5.txt;0.4;0.75;60;368387;10;2724;2751.5699999999997
t_j50_m5.txt;0.4;0.75;60;687619;6;2724;2754.9825000000005
t_j50_m5.txt;0.4;0.75;60;687619;10;2724;2752.2825
t_j50_m5.txt;0.4;0.75;60;354135;6;2724;2761.245
t_j50_m5.txt;0.4;0.75;60;354135;10;2724;2749.6575
