instance_name;beta;h;max_time;seed;ML_used;makespan;makespan_bb
t_j20_m5.txt;0.1;0.75;60;12345;6;1278;1309.335
t_j20_m5.txt;0.1;0.75;60;12345;10;1278;1303.2975000000001
t_j20_m5.txt;0.1;0.75;60;435451;6;1278;1307.6475
t_j20_m5.txt;0.1;0.75;60;435451;10;1278;1307.6475
t_j20_m5.txt;0.1;0.75;60;56162;6;1278;1311.285
t_j20_m5.txt;0.1;0.75;60;56162;10;1278;1307.3100000000002
t_j20_m5.txt;0.1;0.75;60;68813;6;1278;1304.76
t_j20_m5.txt;0.1;0.75;60;68813;10;1278;1311.0975
t_j20_m5.txt;0.1;0.75;60;368387;6;1278;1311.3600000000001
t_j20_m5.txt;0.1;0.75;60;368387;10;1278;1310.6
t_j20_m5.txt;0.2;0.75;60;12345;6;1278;1310.535
t_j20_m5.txt;0.2;0.75;60;12345;10;1278;1312.2225
t_j20_m5.txt;0.2;0.75;60;435451;6;1278;1307.6850000000002
t_j20_m5.txt;0.2;0.75;60;435451;10;1278;1307.6850000000002
t_j20_m5.txt;0.2;0.75;60;56162;6;1278;1313.3100000000002
t_j20_m5.txt;0.2;0.75;60;56162;10;1278;1304.7600000000002
t_j20_m5.txt;0.2;0.75;60;68813;6;1278;1305.66
t_j20_m5.txt;0.2;0.75;60;68813;10;1278;1309.2600000000002
t_j20_m5.txt;0.2;0.75;60;368387;6;1278;1305.3225
t_j20_m5.txt;0.2;0.75;60;368387;10;1278;1307.6475
t_j20_m5.txt;0.3;0.75;60;12345;6;1278;1309.335
t_j20_m5.txt;0.3;0.75;60;12345;10;1278;1311.3600000000001
t_j20_m5.txt;0.3;0.75;60;435451;6;1278;1311.285
t_j20_m5.txt;0.3;0.75;60;435451;10;1278;1309.335
t_j20_m5.txt;0.3;0.75;60;56162;6;1278;1307.8725
t_j20_m5.txt;0.3;0.75;60;56162;10;1278;1305.66
t_j20_m5.txt;0.3;0.75;60;68813;6;1278;1305.3225
t_j20_m5.txt;0.3;0.75;60;68813;10;1278;1315.2975000000001
t_j20_m5.txt;0.3;0.75;60;368387;6;1278;1307.6475
t_j20_m5.txt;0.3;0.75;60;368387;10;1278;1304.7600000000002
t_j20_m5.txt;0.4;0.75;60;12345;6;1278;1312.7475000000002
t_j20_m5.txt;0.4;0.75;60;12345;10;1278;1309.335
t_j20_m5.txt;0.4;0.75;60;435451;6;1278;1307.6475
t_j20_m5.txt;0.4;0.75;60;435451;10;1278;1309.335
t_j20_m5.txt;0.4;0.75;60;56162;6;1278;1313.3100000000002
t_j20_m5.txt;0.4;0.75;60;56162;10;1278;1304.76
t_j20_m5.txt;0.4;0.75;60;68813;6;1278;1304.1225
t_j20_m5.txt;0.4;0.75;60;68813;10;1278;1309.335
t_j20_m5.txt;0.4;0.75;60;368387;6;1278;1311.285
t_j20_m5.txt;0.4;0.75;60;368387;10;1278;1310.1975000000002
t_j20_m5.txt;0.5;0.75;60;12345;6;1278;1312.7850000000003
t_j20_m5.txt;0.5;0.75;60;12345;10;1278;1307.6475
t_j20_m5.txt;0.5;0.75;60;435451;6;1278;1311.6975000000002
t_j20_m5.txt;0.5;0.75;60;435451;10;1278;1307.0100000000002
t_j20_m5.txt;0.5;0.75;60;56162;6;1278;1310.5725
t_j20_m5.txt;0.5;0.75;60;56162;10;1278;1313.2725
t_j20_m5.txt;0.5;0.75;60;68813;6;1278;1313.3100000000002
