instance_name;beta;h;max_time;seed;ML_used;makespan;makespan_bb;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.1;1.5;60;12345;6;1297;1305.37;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.1;1.5;60;435451;6;1297;1308.37;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.1;1.5;60;56162;6;1297;1307.8;;;Etiquetas de columna;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.1;1.5;60;68813;6;1297;1307.245;;;0.1;;0.2;;0.3;;0.4;;0.5;;0.6;;0.7;;0.8;;0.9;;Total Mín. de makespan;Total Promedio de makespan2
t_j20_m5.txt;0.1;1.5;60;368387;6;1297;1307.245;;Etiquetas de fila;Mín. de makespan;Promedio de makespan2;Mín. de makespan;Promedio de makespan2;Mín. de makespan;Promedio de makespan2;Mín. de makespan;Promedio de makespan2;Mín. de makespan;Promedio de makespan2;Mín. de makespan;Promedio de makespan2;Mín. de makespan;Promedio de makespan2;Mín. de makespan;Promedio de makespan2;Mín. de makespan;Promedio de makespan2;;
t_j20_m5.txt;0.1;1.5;60;687619;6;1297;1307.245;;t_j100_m10.txt;5805;5835.444444;5805;5835.444444;5805;5835.444444;5805;5835.444444;5805;5835.444444;5805;5835.444444;5805;5835.444444;5805;5835.444444;5805;5835.444444;5805;5835.444444
t_j20_m5.txt;0.1;1.5;60;354135;6;1297;1308.295;;t_j100_m20.txt;6513;6543.888889;6513;6543.888889;6513;6543.888889;6513;6543.888889;6513;6543.888889;6513;6543.888889;6513;6543.888889;6513;6543.888889;6513;6543.888889;6513;6543.888889
t_j20_m5.txt;0.1;1.5;60;839113;6;1297;1303.27;;t_j100_m5.txt;5503;5507.222222;5503;5507.222222;5503;5507.222222;5503;5507.222222;5503;5507.222222;5503;5507.222222;5503;5507.222222;5503;5507.222222;5503;5507.222222;5503;5507.222222
t_j20_m5.txt;0.1;1.5;60;123452;6;1297;1308.595;;t_j20_m10.txt;1591;1608.666667;1591;1608.666667;1591;1608.666667;1591;1608.666667;1591;1608.666667;1591;1608.666667;1591;1608.666667;1591;1608.666667;1591;1608.666667;1591;1608.666667
t_j20_m5.txt;0.2;1.5;60;12345;6;1297;1307.245;;t_j20_m20.txt;2317;2344.555556;2317;2344.555556;2317;2344.555556;2317;2344.555556;2317;2344.555556;2317;2344.555556;2317;2344.555556;2317;2344.555556;2317;2344.555556;2317;2344.555556
t_j20_m5.txt;0.2;1.5;60;435451;6;1297;1309.345;;t_j20_m5.txt;1297;1297;1297;1297;1297;1297;1278;1295.1;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1278;1296.768293
t_j20_m5.txt;0.2;1.5;60;56162;6;1297;1307.8;;t_j200_m10.txt;10927;10971.55556;10927;10971.55556;10927;10971.55556;10927;10971.55556;10927;10971.55556;10927;10971.55556;10927;10971.55556;10927;10971.55556;10927;10971.55556;10927;10971.55556
