instance_name;beta;h;max_time;seed;ML_used;makespan;makespan_bb
t_j20_m5.txt;0.4;1.5;60;12345;4;1278;1353.495
t_j20_m5.txt;0.4;1.5;60;12345;5;1288;1339.625
t_j20_m5.txt;0.4;1.5;60;435451;4;1278;1343.2949999999998
t_j20_m5.txt;0.4;1.5;60;435451;5;1302;1364.845
t_j20_m5.txt;0.4;1.5;60;56162;4;1278;1349.705
t_j20_m5.txt;0.4;1.5;60;56162;5;1286;1339.625
t_j20_m5.txt;0.4;1.5;60;68813;4;1278;1336.245
t_j20_m5.txt;0.4;1.5;60;68813;5;1286;1339.625
t_j20_m10.txt;0.4;1.5;60;12345;4;1586;1710.7249999999997
t_j20_m10.txt;0.4;1.5;60;12345;5;1646;1694.705
t_j20_m10.txt;0.4;1.5;60;435451;4;1593;1648.4
t_j20_m10.txt;0.4;1.5;60;435451;5;1669;1741.6799999999998
t_j20_m10.txt;0.4;1.5;60;56162;4;1591;1645.59
t_j20_m10.txt;0.4;1.5;60;56162;5;1643;1705.8099999999997
t_j20_m10.txt;0.4;1.5;60;68813;4;1591;1645.59
t_j20_m10.txt;0.4;1.5;60;68813;5;1634;1685.33
t_j20_m20.txt;0.4;1.5;60;12345;4;2306;2428.4049999999993
t_j20_m20.txt;0.4;1.5;60;12345;5;2435;2475.365
t_j20_m20.txt;0.4;1.5;60;435451;4;2297;2441.4499999999994
t_j20_m20.txt;0.4;1.5;60;435451;5;2386;2530.005
t_j20_m20.txt;0.4;1.5;60;56162;4;2309;2403.5699999999993
t_j20_m20.txt;0.4;1.5;60;56162;5;2376;2484.4649999999997
t_j20_m20.txt;0.4;1.5;60;68813;4;2309;2426.2399999999993
t_j20_m20.txt;0.4;1.5;60;68813;5;2358;2486.9949999999994
t_j50_m5.txt;0.4;1.5;60;12345;4;2724;2800.89
t_j50_m5.txt;0.4;1.5;60;12345;5;2737;2805.4500000000003
t_j50_m5.txt;0.4;1.5;60;435451;4;2724;2800.29
t_j50_m5.txt;0.4;1.5;60;435451;5;2737;2800.29
t_j50_m5.txt;0.4;1.5;60;56162;4;2724;2791.6499999999996
t_j50_m5.txt;0.4;1.5;60;56162;5;2729;2806.9099999999994
